Id,ProductId,ImageUrl,IsPrimary
1,1,https://i-giadinh.vnecdn.net/2025/11/17/Pho-bo-Ha-Noi-7-vnexpress-1763-7388-9585-1763372391.jpg,TRUE
2,2,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTU0tNx7PActU8svU7lhTTHq2-hQ670bIfsXQ&s,TRUE
3,3,https://i.ytimg.com/vi/CSI9ildGX9s/maxresdefault.jpg,TRUE
4,4,https://blog.aeoneshop.com/wp-content/uploads/2025/10/cach-nau-bun-rieu-1.jpeg,TRUE
5,5,https://i.ytimg.com/vi/OVb5uoDWspM/hq720.jpg?sqp=-oaymwEhCK4FEIIDSFryq4qpAxMIARUAAAAAGAElAADIQj0AgKJD&rs=AOn4CLBr9PBrWzDnhtJnXSXQB9hcHw6mnQ,TRUE
6,6,https://beptruong.edu.vn/wp-content/uploads/2013/07/canh-chua-ca-bop.jpg,TRUE
7,7,https://cdn.tgdd.vn/2021/11/CookRecipe/Avatar/ga-rang-muoi-thumbnail.jpg,TRUE
8,8,https://daynauan.info.vn/wp-content/uploads/2020/11/bo-luc-lac.jpg,TRUE
9,9,https://daynauan.info.vn/wp-content/uploads/2022/03/cach-lam-suon-xao-chua-ngot.jpg,TRUE
10,10,https://cdn.tgdd.vn/2020/08/CookProduct/1200-1200x676-13.jpg,TRUE
11,11,https://cdn2.fptshop.com.vn/unsafe/1920x0/filters:format(webp):quality(75)/2024_2_28_638447510905455385_cach-lam-cha-gio-khoai-mon-thit-0.jpg,TRUE
12,12,https://daotaobeptruong.vn/wp-content/uploads/2020/04/goi-cuon.jpg,TRUE
13,13,https://www.huongnghiepaau.com/wp-content/uploads/2019/08/banh-mi-kep-thit-nuong-thom-phuc.jpg,TRUE
14,14,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ02GfVZHU_Cih1TjIzgph74toIpXzSw5n55w&s,TRUE
15,15,https://i.ytimg.com/vi/Fdt4IOyRcsU/maxresdefault.jpg,TRUE
16,16,https://cookbeo.com/media/2021/06/sinh-to-bo/sinh-to-bo.jpg,TRUE
17,17,https://dayphache.edu.vn/wp-content/uploads/2016/02/cach-lam-sinh-to-xoai-sua-dac.jpg,TRUE
18,18,https://dayphache.edu.vn/wp-content/uploads/2020/02/mon-tra-sua-tran-chau.jpg,TRUE
19,19,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTw9IFQE5cogZupTVeccss2ip1XjG9oOG146A&s,TRUE
20,20,https://giacaphe.com/wp-content/uploads/2023/03/ca-phe-sua-da-2-800x625.jpg,TRUE
21,21,https://cdn.tgdd.vn/Products/Images/2282/118112/bhx/bia-larue-special-330ml-202303130853238705.jpg,TRUE
22,22,https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/2282/328903/bhx/httpscdnv2tgddvnbhx-staticbhxproductsimages2282328903bhxlon-250ml-1202412031319412030_202412041003223969.jpg,TRUE
23,23,https://grandcru.vn/wp-content/uploads/2024/06/antica-cabernet-sauvignon-mountain-select.png,TRUE
24,24,https://monngonmoingay.com/wp-content/uploads/2024/08/cach-lam-banh-flan-bang-noi-chien-khong-dau-1-1.jpg,TRUE
25,25,https://bizweb.dktcdn.net/thumb/grande/100/004/714/articles/che-ba-mau-cach-lam-ngon-mieng-dep-mat-ngay-tai-nha.png?v=1592454972940,TRUE
26,26,https://www.cet.edu.vn/wp-content/uploads/2020/11/banh-gion-rum.jpg,TRUE
27,27,https://familk.vn/wp-content/uploads/2020/12/sua-chua-deo-4.jpg,TRUE
28,28,https://cdn.tgdd.vn/Files/2020/06/24/1265201/cach-lam-nuoc-sot-sieu-de-de-lam-rau-muong-xao-toi-5.jpg,TRUE
29,29,https://vncooking.com/files/cuisine/2019/02/09/dau-hu-sot-ca-chua-vg3y.jpg,TRUE
30,30,https://cdn.tgdd.vn/Files/2020/06/09/1261737/cach-lam-canh-kho-qua-ham-chay-don-gian-thanh-dam-it-dang-202201171112133305.jpg,TRUE
